country,country_new
Aruba,Aruba
Afghanistan,Afghanistan
Angola,Angola
Anguilla,Anguilla
Åland Islands,Åland Islands
Albania,Albania
Andorra,Andorra
United Arab Emirates,United Arab Emirates
Argentina,Argentina
Armenia,Armenia
French Southern Territories,French Southern Territories
Antigua and Barbuda,Antigua and Barbuda
Australia,Australia
Austria,Austria
Azerbaijan,Azerbaijan
Burundi,Burundi
Belgium,Belgium
Benin,Benin
"Bonaire, Sint Eustatius and Saba","Bonaire, Sint Eustatius and Saba"
Burkina Faso,Burkina Faso
Bangladesh,Bangladesh
Bulgaria,Bulgaria
Bahrain,Bahrain
Bahamas,Bahamas
Bosnia and Herzegovina,Bosnia and Herzegovina
Saint Barthélemy,Saint Barthélemy
Belarus,Belarus
Belize,Belize
Bermuda,Bermuda
"Bolivia, Plurinational State of",Bolivia
Brazil,Brazil
Barbados,Barbados
Brunei Darussalam,Brunei Darussalam
Bhutan,Bhutan
Botswana,Botswana
Central African Republic,Central African Republic
Canada,Canada
Switzerland,Switzerland
Chile,Chile
China,China
Côte d'Ivoire,Côte d'Ivoire
Cameroon,Cameroon
"Congo, The Democratic Republic of the",DRC
Congo,Congo
Colombia,Colombia
Comoros,Comoros
Cabo Verde,Cabo Verde
Costa Rica,Costa Rica
Cuba,Cuba
Curaçao,Curaçao
Cayman Islands,Cayman Islands
Cyprus,Cyprus
Czechia,Czechia
Germany,Germany
Djibouti,Djibouti
Dominica,Dominica
Denmark,Denmark
Dominican Republic,Dominican Republic
Algeria,Algeria
Ecuador,Ecuador
Egypt,Egypt
Eritrea,Eritrea
Western Sahara,Western Sahara
Spain,Spain
Estonia,Estonia
Ethiopia,Ethiopia
Finland,Finland
Fiji,Fiji
Falkland Islands (Malvinas),Falkland Islands (Malvinas)
France,France
"Micronesia, Federated States of",Micronesia
Gabon,Gabon
United Kingdom,United Kingdom
Georgia,Georgia
Guernsey,Guernsey
Ghana,Ghana
Gibraltar,Gibraltar
Guinea,Guinea
Guadeloupe,Guadeloupe
Gambia,Gambia
Guinea-Bissau,Guinea-Bissau
Equatorial Guinea,Equatorial Guinea
Greece,Greece
Grenada,Grenada
Guatemala,Guatemala
French Guiana,French Guiana
Guyana,Guyana
Honduras,Honduras
Croatia,Croatia
Haiti,Haiti
Hungary,Hungary
Indonesia,Indonesia
Isle of Man,Isle of Man
India,India
Ireland,Ireland
"Iran, Islamic Republic of",Iran
Iraq,Iraq
Iceland,Iceland
Israel,Israel
Italy,Italy
Jamaica,Jamaica
Jersey,Jersey
Jordan,Jordan
Japan,Japan
Kazakhstan,Kazakhstan
Kenya,Kenya
Kyrgyzstan,Kyrgyzstan
Cambodia,Cambodia
Saint Kitts and Nevis,Saint Kitts and Nevis
"Korea, Republic of",South Korea
Kuwait,Kuwait
Lao People's Democratic Republic,Laos
Lebanon,Lebanon
Liberia,Liberia
Libya,Libya
Saint Lucia,Saint Lucia
Liechtenstein,Liechtenstein
Sri Lanka,Sri Lanka
Lesotho,Lesotho
Lithuania,Lithuania
Luxembourg,Luxembourg
Latvia,Latvia
Saint Martin (French part),Saint Martin (French part)
Morocco,Morocco
Monaco,Monaco
"Moldova, Republic of",Moldova
Madagascar,Madagascar
Maldives,Maldives
Mexico,Mexico
North Macedonia,North Macedonia
Mali,Mali
Malta,Malta
Myanmar,Myanmar
Montenegro,Montenegro
Mongolia,Mongolia
Mozambique,Mozambique
Mauritania,Mauritania
Montserrat,Montserrat
Martinique,Martinique
Mauritius,Mauritius
Malawi,Malawi
Malaysia,Malaysia
Mayotte,Mayotte
Namibia,Namibia
New Caledonia,New Caledonia
Niger,Niger
Nigeria,Nigeria
Nicaragua,Nicaragua
Netherlands,Netherlands
Norway,Norway
Nepal,Nepal
New Zealand,New Zealand
Oman,Oman
Pakistan,Pakistan
Panama,Panama
Peru,Peru
Philippines,Philippines
Palau,Palau
Papua New Guinea,Papua New Guinea
Poland,Poland
Puerto Rico,Puerto Rico
"Korea, Democratic People's Republic of",North Korea
Portugal,Portugal
Paraguay,Paraguay
"Palestine, State of",Palestine
Qatar,Qatar
Réunion,Réunion
Romania,Romania
Russian Federation,Russian Federation
Rwanda,Rwanda
Saudi Arabia,Saudi Arabia
Sudan,Sudan
Senegal,Senegal
Singapore,Singapore
Solomon Islands,Solomon Islands
Sierra Leone,Sierra Leone
El Salvador,El Salvador
San Marino,San Marino
Somalia,Somalia
Saint Pierre and Miquelon,Saint Pierre and Miquelon
Serbia,Serbia
South Sudan,South Sudan
Sao Tome and Principe,Sao Tome and Principe
Suriname,Suriname
Slovakia,Slovakia
Slovenia,Slovenia
Sweden,Sweden
Eswatini,Eswatini
Sint Maarten (Dutch part),Sint Maarten (Dutch part)
Seychelles,Seychelles
Syrian Arab Republic,Syria
Turks and Caicos Islands,Turks and Caicos Islands
Chad,Chad
Togo,Togo
Thailand,Thailand
Tajikistan,Tajikistan
Turkmenistan,Turkmenistan
Timor-Leste,Timor-Leste
Trinidad and Tobago,Trinidad and Tobago
Tunisia,Tunisia
Turkey,Turkey
"Taiwan, Province of China",Taiwan
"Tanzania, United Republic of",Tanzania
Uganda,Uganda
Ukraine,Ukraine
United States Minor Outlying Islands,United States Minor Outlying Islands
Uruguay,Uruguay
United States,United States
Uzbekistan,Uzbekistan
Holy See (Vatican City State),Holy See (Vatican City State)
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines
"Venezuela, Bolivarian Republic of",Venezuela
"Virgin Islands, British","Virgin Islands, British"
"Virgin Islands, U.S.","Virgin Islands, U.S."
Viet Nam,Viet Nam
Vanuatu,Vanuatu
Caspian Sea,Caspian Sea
Kosovo,Kosovo
Yemen,Yemen
South Africa,South Africa
Zambia,Zambia
Northern Cyprus,Northern Cyprus
Zimbabwe,Zimbabwe